track_id,filepath,mfcc_mean_0,mfcc_std_0,mfcc_mean_1,mfcc_std_1,mfcc_mean_2,mfcc_std_2,mfcc_mean_3,mfcc_std_3,mfcc_mean_4,mfcc_std_4,mfcc_mean_5,mfcc_std_5,mfcc_mean_6,mfcc_std_6,mfcc_mean_7,mfcc_std_7,mfcc_mean_8,mfcc_std_8,mfcc_mean_9,mfcc_std_9,mfcc_mean_10,mfcc_std_10,mfcc_mean_11,mfcc_std_11,mfcc_mean_12,mfcc_std_12,spectral_centroid_mean,spectral_centroid_std,spectral_flatness_mean,spectral_flatness_std,spectral_spread_mean,spectral_spread_std,spectral_flux_mean,spectral_flux_std,zcr_mean,zcr_std,rms_mean,rms_std,tempo,beat_count,peak_dur_mean,peak_dur_var,ibi_mean,ibi_cv,actual_window_dur,chroma_mean,chroma_std,chroma_energy,chroma_entropy,chroma_class_0,chroma_class_1,chroma_class_2,chroma_class_3,chroma_class_4,chroma_class_5,chroma_class_6,chroma_class_7,chroma_class_8,chroma_class_9,chroma_class_10,chroma_class_11,contrast_mean_0,contrast_std_0,contrast_mean_1,contrast_std_1,contrast_mean_2,contrast_std_2,contrast_mean_3,contrast_std_3,contrast_mean_4,contrast_std_4,contrast_mean_5,contrast_std_5,contrast_mean_6,contrast_std_6,low_freq_ratio,onset_mean,onset_std,onset_max,onset_sharpness,key,scale,key_strength,key_idx,camelot,is_ambient,brightness,compactness,density,rhythm_strength,groove_regularity,texture,warmth,tonality,punch,bass_weight,tags,tag_bright,tag_dark,tag_punchy,tag_soft,tag_tonal,tag_atonal,tag_bass_heavy,tag_minimal,tag_dense,tag_rhythmic,tag_warm,tag_cold,tag_textured,tag_flat,tag_ambient,tag_four_four,tag_broken,tag_heavy_club,tag_dub_techno,tag_hardgroove,tag_industrial,tag_deep_minimal,tag_atmospheric,brightness_scale,compactness_scale,density_scale,rhythm_strength_scale,texture_scale,warmth_scale,tonality_scale,punch_scale,bass_weight_scale,groove_regularity_scale,bpm_tier,eff_0,eff_1,eff_2,eff_3,eff_4,eff_5,eff_6,eff_7,eff_8,eff_9,eff_10,eff_11,eff_12,eff_13,eff_14,eff_15,eff_16,eff_17,eff_18,eff_19,eff_20,eff_21,eff_22,eff_23,eff_24,eff_25,eff_26,eff_27,eff_28,eff_29,eff_30,eff_31,eff_32,eff_33,eff_34,cluster,umap_x,umap_y
01 Balancer,/Users/maxbalateu/desktop/DATASET THESIS/01 Balancer.mp3,-133.3115692138672,61.272125244140625,138.244873046875,28.532611846923828,-12.314251899719238,25.05739402770996,83.36846923828125,19.63103675842285,-6.785991668701172,14.767584800720215,14.826434135437012,11.364493370056152,2.691030263900757,12.184690475463867,-0.9807693958282471,10.996513366699219,4.921708106994629,10.593910217285156,-2.577939987182617,9.03283405303955,5.679011344909668,9.124237060546875,7.600216388702393,9.527482032775879,8.680377006530762,9.055834770202637,2211.556037353426,1159.2061534398424,0.00036055853706784546,0.0010583047987893224,2805.3352853336646,587.3420796441332,118.44608306884766,61.98756408691406,0.036498141608617134,0.038676025924148254,0.3741249144077301,0.1435997188091278,135.99917763157896,101,0.11028052170909314,0.0003032808368777762,0.4379283446712018,0.011903469944600837,45.0,0.6102238893508911,0.1723059117794037,0.4020625352859497,3.5545778274536133,0.5605307221412659,0.5141798853874207,0.5368385314941406,0.5338100790977478,0.538490355014801,0.488308846950531,0.727749228477478,0.4903159439563751,0.6069842576980591,0.9355536103248596,0.6201003789901733,0.769826352596283,18.353175156345443,4.992510324988926,10.105127062650928,3.9783181089310578,14.887028984351977,4.468989957052695,12.859229602196711,3.301036817009744,12.900140410333302,1.9669005877004198,14.177717593175911,1.7052101388516565,55.67930742769414,3.583985766696612,0.3278387784957886,0.0899374783039093,0.18340890109539032,1.3802456855773926,0.04410227612153348,B,major,0.4267379343509674,11,1B,0.0,0.43624711651189146,0.5382132600094921,0.6918447132805704,0.5823385447359237,0.5916734437333244,0.45742580618634876,0.4944650483394719,0.3888902783089617,0.5378413579162836,0.42723928213561646,"atonal, dense",False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,low,medium,high,medium,medium,medium,low,medium,low,medium,techno,-655.38934,172.82596,49.2292,59.033134,1.9208541,11.169349,-0.5165023,18.077677,7.454087,17.87617,5.5521083,1.1166874,-3.880219,91.31916,67.66739,24.606047,15.50929,13.69683,11.069889,8.007071,10.630186,14.630441,12.956898,9.616904,7.7104583,9.898676,411.55222,365.19247,244.36229,0.23841548,0.015615934,137.05727,3.8071454,0.5787008,1.0,1,7.277115,12.922339
01 Break,/Users/maxbalateu/desktop/DATASET THESIS/01 Break.mp3,-81.02955627441406,52.09487533569336,111.87964630126953,25.069353103637695,-13.39330768585205,22.274322509765625,70.13312530517578,17.97361946105957,-19.136320114135742,10.512458801269531,34.257240295410156,6.883447170257568,-3.109602689743042,6.786239147186279,19.017963409423828,6.792088508605957,-1.172916293144226,6.586573600769043,7.267768383026123,6.288331031799316,1.3577582836151123,5.7856245040893555,10.302408218383789,5.77356481552124,-0.011426573619246483,5.127213954925537,3465.6897446887438,1039.1883730920094,0.0011254919227212667,0.0015721366507932544,3886.2542331784402,426.93569081844174,106.17578887939453,48.565513610839844,0.040754603650670795,0.025042970592725314,0.31994184851646423,0.05516611039638519,132.51201923076923,98,0.11351324664887052,0.00028063774058902877,0.4545844729644435,0.009935735787237374,45.0,0.7100262641906738,0.1622115522623062,0.5304498672485352,3.5649869441986084,0.6340921521186829,0.6887505054473877,0.6075422167778015,0.6815358400344849,0.6318129897117615,0.7392532229423523,0.5670313239097595,0.6352660655975342,0.9673425555229187,0.9412033557891846,0.7698134779930115,0.6566746234893799,17.933252109464274,4.504698096306552,9.329262732272444,3.1426021843016594,11.54332991978652,3.366192093694382,12.629477759997664,3.0637462793681833,12.955403713920111,2.1546422020557796,14.15842409989101,1.9403757533468566,56.164301119069734,2.259124958647391,0.2590790390968323,0.08379849046468735,0.16212522983551025,0.989522397518158,0.04331335108640132,F,major,0.7556338310241699,5,7B,0.0,0.6586389439204136,0.3842898874717234,0.7124570287091772,0.5512924289315309,0.6091783407478693,0.3395648798043458,0.31391589946190657,0.3589559386319028,0.5226753448067356,0.3191883281946899,"bright, atonal, dense, cold, flat, four_four",True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,high,low,high,medium,low,low,low,medium,low,medium,minimal,-670.8048,190.44127,30.738,46.501186,6.7028875,23.28051,9.652423,10.841097,5.06357,14.440954,7.702423,9.045689,3.6790025,67.61286,39.370415,24.729595,17.89356,12.999313,10.571974,9.004101,8.165202,7.389941,7.1126637,7.215279,5.8010054,5.719815,224.2617,134.6823,111.97266,0.19126928,0.0064094234,65.091064,2.1693573,0.7480979,1.0,1,8.780944,13.553979
01 Breakbeak,/Users/maxbalateu/desktop/DATASET THESIS/01 Breakbeak.mp3,-216.880615234375,105.30767059326172,78.6825942993164,33.721923828125,-9.752049446105957,32.92262649536133,49.078163146972656,21.500083923339844,-20.21207046508789,20.961688995361328,42.67597579956055,12.75633716583252,11.766298294067383,15.604696273803711,21.00693702697754,12.298218727111816,14.130276679992676,13.53424072265625,14.96155071258545,8.439630508422852,7.867071151733398,8.968860626220703,16.788480758666992,7.528524398803711,5.996901035308838,9.563360214233398,3539.221882733379,1994.8901033704183,0.0015252986922860146,0.0034562735818326473,3607.235935497475,847.8614515668035,67.83100128173828,44.68492889404297,0.05780337936984004,0.058362134643261766,0.18409857153892517,0.11297620832920074,126.04801829268293,95,0.11799403270079963,0.0005845286990343501,0.4724272687798523,0.011350741616469444,45.0,0.6163851022720337,0.2189471572637558,0.4278683662414551,3.5248324871063232,0.6570270657539368,0.5848254561424255,0.48743394017219543,0.4502468705177307,0.38450539112091064,0.3888123035430908,0.48376017808914185,0.5934325456619263,0.8478450179100037,0.8502501845359802,0.8951479196548462,0.7733352184295654,18.03536027459549,5.503540695347334,10.097329356239241,3.9230231607409176,14.004654197625694,4.8727452817386165,15.026856680872394,4.808805434297691,15.323962401787137,3.7629837423662225,15.15689894069853,2.307540134170757,59.26912208082476,2.929429487089676,0.2677988111972809,0.11013790220022202,0.2483241856098175,1.5089130401611328,0.04884887658603161,C,major,0.8269917368888855,0,8B,0.0,0.6716781808513366,0.4151895937209935,0.30229253424363706,0.5202463131271383,0.596590496387391,0.6780527851535904,0.31427829174472677,0.4744313615323416,0.629088309989881,0.3328908189521701,"bright, punchy, minimal, cold, textured",True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,high,low,low,medium,high,low,medium,medium,low,medium,house,-721.50085,46.214306,52.72357,26.596817,29.305483,43.08618,19.689146,25.130022,2.325262,17.692787,7.973503,8.261617,10.741765,131.41257,45.525616,42.453552,22.319826,21.373373,21.138472,19.24629,16.950191,14.996584,12.252448,10.719343,10.39853,8.571454,2499.3462,2037.061,2731.393,0.11467514,0.07268704,127.02951,4.007279,0.8118755,1.0,1,7.3220253,10.798701
01 Calling Me,/Users/maxbalateu/desktop/DATASET THESIS/01 Calling Me.mp3,-130.8699188232422,107.85540008544922,118.4808349609375,43.57919692993164,-3.876931667327881,28.823945999145508,35.60651397705078,18.958675384521484,4.713353633880615,19.04407501220703,24.312440872192383,14.449442863464355,-2.4234018325805664,12.894002914428711,12.445099830627441,11.440713882446289,-0.588716983795166,10.918761253356934,9.499015808105469,9.96695613861084,0.5043542385101318,9.200020790100098,5.197736740112305,8.715473175048828,0.0520906075835228,8.515024185180664,3143.65982479732,1975.242587225702,0.005324981175363064,0.008955872617661953,3690.919032390059,1331.8939712710198,81.04713439941406,63.46916198730469,0.054061653444272446,0.05573626174403045,0.2516949474811554,0.13446085155010223,112.34714673913044,85,0.17104775752540205,0.0038746391930949723,0.527286470143613,0.05574479826819222,45.0,0.41227346658706665,0.23827087879180908,0.2267424315214157,3.471975803375244,0.30857354402542114,0.2997171878814697,0.3145531117916107,0.4049997329711914,0.5293328762054443,0.9146772623062134,0.546774685382843,0.2962702810764313,0.2691260278224945,0.2540472447872162,0.407802939414978,0.40140610933303833,16.65721701831131,5.471674859177585,10.915512041177244,3.617216373622291,13.105715386013735,3.962994873883441,14.717702653296136,4.234602346172169,14.62530297708781,3.293770320551664,15.515816884803423,3.0993013368562994,52.40905086325163,4.631012212571092,0.24146564304828644,0.09328719973564148,0.21874065697193146,2.1447057723999023,0.03978456383467709,F,minor,0.49871501326560974,5,4A,0.0,0.6015343290408411,0.4054316996342488,0.5382466393576433,0.4167592604458291,0.20166245855350012,0.4292550822287474,0.3299940787821899,0.6264356058664977,0.45483919899157554,0.2915101510837741,"bright, tonal, cold",True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,medium,low,medium,low,low,low,medium,medium,low,very low,slow,-684.19116,104.21759,15.202313,11.365114,14.787136,12.471873,3.9379723,9.064524,2.8333375,3.6369903,2.4178178,1.7391458,2.0936096,154.14426,51.599846,40.10513,27.80251,25.933186,21.267035,19.925089,15.967944,15.599218,13.1785755,13.087526,11.5953865,10.569806,1918.1371,1954.9111,2176.5361,0.09446918,0.06782557,172.26566,1.979831,0.73331803,1.0,0,7.5850444,9.69615
01 Can I Ride (Extended Cut),/Users/maxbalateu/desktop/DATASET THESIS/01 Can I Ride (Extended Cut).mp3,-319.3203430175781,70.7643051147461,145.17086791992188,35.75013732910156,75.13198852539062,28.27103614807129,57.36524200439453,21.95832061767578,5.229225158691406,19.689359664916992,13.341402053833008,15.054973602294922,-0.5504088997840881,12.058282852172852,-7.73869514465332,10.214508056640625,-6.01710844039917,11.086247444152832,-5.689519882202148,9.476407051086426,-2.54721999168396,8.669342041015625,-0.37211573123931885,8.315853118896484,-1.0186717510223389,6.629242897033691,1356.59397035573,1532.265748428726,0.00015264573448803276,0.0005779924103990197,2254.569409092841,1417.8903413769153,53.35549545288086,63.98704147338867,0.019519329410109032,0.0199139994622775,0.1448858231306076,0.12544094026088715,125.0,94,0.20257013574660634,0.0061203084293933495,0.4762150537634409,0.010717049834593624,45.0,0.6980577707290649,0.1996382623910904,0.5271400809288025,3.557889461517334,0.761306881904602,0.5128328800201416,0.5930537581443787,0.5964058041572571,0.5701197385787964,0.5744629502296448,0.6107835173606873,0.9167777895927429,0.7662637829780579,0.8368213176727295,0.9265194535255432,0.7113444209098816,17.94882435143042,4.451335970103687,12.075733573682852,3.671757342270124,14.717740007127855,3.6703629089078995,16.836657514975215,3.9823205625185545,17.387898913102745,3.836567921004843,16.38032889136982,2.7726387368431467,51.809410135095376,6.231401769920548,0.4446297585964203,0.07692418247461319,0.15992142260074615,1.1679364442825317,0.03700148328757945,C,minor,0.8949307203292847,0,5A,0.0,0.28463921750360177,0.6734037255387485,0.07450165430816147,0.5098976078590074,0.6022277972083325,0.6847780099313138,0.6775787614801773,0.37936674414385607,0.4013382525358198,0.6107678545513604,"dark, atonal, bass_heavy, minimal, warm, textured, four_four, deep_minimal",False,True,False,False,False,True,True,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,low,high,very low,medium,high,high,low,low,medium,medium,house,-982.96405,263.53592,116.27998,36.933765,0.452582,-8.962918,-14.553441,-9.969883,-9.263366,-6.4137015,-7.399839,-8.038157,-9.250396,83.716805,26.825306,25.85065,19.36849,17.38352,18.084558,10.441701,11.852531,9.299647,10.811067,8.3303995,8.123669,7.901279,205.39853,66.85625,252.39247,0.079246536,0.009064276,124.250854,3.9388554,0.94309014,0.0,0,5.007696,11.760937
01 Enjoy Reality,/Users/maxbalateu/desktop/DATASET THESIS/01 Enjoy Reality.mp3,-103.55776977539062,87.49492645263672,90.46444702148438,39.07828140258789,-4.134794235229492,27.003726959228516,47.263465881347656,19.07356071472168,3.418605327606201,16.109397888183594,19.966909408569336,11.748271942138672,12.17652702331543,11.956303596496582,13.651083946228027,9.686217308044434,6.610393524169922,10.50217056274414,11.355446815490723,7.814825534820557,2.0319759845733643,8.397998809814453,11.02484130859375,6.374298095703125,0.767937183380127,7.3419060707092285,3785.777452837453,1948.899544210319,0.007666786201298237,0.014234999194741249,4354.803951928905,1013.9032564856864,116.30085754394531,74.96293640136719,0.060180790038054696,0.07239419943761458,0.34985390305519104,0.14835955202579498,139.6748310810811,99,0.12938265796232035,0.002978930827402426,0.43478180387801374,0.013281806653025764,45.0,0.5155311226844788,0.24955418705940247,0.3280496597290039,3.524639129638672,0.4510979652404785,0.4498223662376404,0.37601566314697266,0.45532235503196716,0.6115191578865051,0.9755053520202637,0.5343237519264221,0.3733585476875305,0.5511649250984192,0.5954405665397644,0.4255824685096741,0.38722166419029236,17.000105202111943,4.958738181515892,9.581021027397194,3.537863188815025,11.25101325945911,3.3043620546249364,12.862407783344901,3.102306632377265,13.17992593740451,2.260812714976396,14.240846802128704,1.8993911785577804,54.269455557900194,3.3980974015550918,0.2871362864971161,0.12020274251699448,0.2705491781234741,1.9286811351776123,0.053405075570668405,F,major,0.587222158908844,5,7B,0.0,0.7153991521261598,0.3413082172181303,0.7120376562733411,0.561641134199662,0.5794118066407035,0.27495985516013255,0.3069930449778536,0.47498741525501265,0.7166750520168157,0.36327826182528866,"bright, punchy, dense, cold, flat, hardgroove",True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,high,low,high,medium,low,low,medium,high,low,medium,hardgroove,-655.47955,111.38133,44.77711,42.86526,21.811245,28.433577,16.259678,15.994064,8.52354,10.208846,7.210343,5.6040864,6.25664,139.15697,71.3099,39.473618,24.954094,18.94333,13.398136,12.945815,11.940072,9.471052,8.699219,7.5489264,7.120123,7.589317,1340.9064,1794.906,1385.747,0.21982256,0.051430654,138.11853,3.5010197,0.64208496,0.0,1,9.313263,11.975111
01 Flurry,/Users/maxbalateu/desktop/DATASET THESIS/01 Flurry.mp3,-132.25323486328125,60.559688568115234,122.19000244140625,34.87498474121094,-26.482717514038086,14.076416969299316,35.356380462646484,17.63779640197754,-15.390181541442871,15.614980697631836,24.194828033447266,13.255247116088867,-0.22553366422653198,11.774727821350098,7.922016143798828,10.99351692199707,0.4087081849575043,8.218833923339844,1.1372984647750854,8.11087417602539,-4.248116493225098,9.068678855895996,-1.282854676246643,7.025900363922119,-6.7172675132751465,5.286787033081055,3421.091161058343,1407.6758638988038,0.004501869436353445,0.008606154471635818,3633.568121543618,826.9283341399513,56.172096252441406,61.73325729370117,0.07362477525961042,0.05048927955975057,0.14470361173152924,0.10879687964916229,123.046875,91,0.13152299825110886,0.0018630543737177018,0.48387805492567393,0.011212871682466442,45.0,0.6251683831214905,0.23077543079853058,0.4440928101539612,3.5628795623779297,0.7688317894935608,0.5518662333488464,0.5433956980705261,0.5668360590934753,0.7532180547714233,0.7697498202323914,0.6103698015213013,0.5103173851966858,0.49915584921836853,0.5502334833145142,0.5644840002059937,0.8135588765144348,17.974040665678512,4.4550264942920155,11.924584174760502,3.6792716217429784,12.943557146071491,3.4885212125174117,15.401047425781002,3.5912101074640477,15.15853889923206,2.4399977951509886,16.346171250967107,2.416537689004023,54.18197313253326,3.0625239064776046,0.1470230668783188,0.08100654184818268,0.18823711574077606,1.3655285835266113,0.034860605427847795,E,minor,0.5189822316169739,4,9A,0.0,0.6507304087655214,0.4120706575833143,0.39793227674528375,0.4788514920546146,0.5978169826925118,0.5952594182785085,0.2220251579809464,0.3650163071333693,0.3601827811782754,0.14310047796685532,"bright, soft, atonal, minimal, cold",True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,high,low,low,medium,medium,very low,low,low,very low,medium,house,-655.8058,110.48515,32.32208,34.076363,6.8155622,15.820232,0.040612314,-2.7527418,-9.5425625,-1.9933282,-7.6115456,-3.4672666,-2.3153312,93.121704,40.70269,21.483492,18.119743,12.418557,12.735411,12.081477,8.1025715,7.9723163,8.676662,7.2974486,5.487564,6.0697603,1394.0718,1241.6626,1243.7195,0.103589036,0.052613296,124.03966,1.8071716,0.481652,0.0,1,9.15252,11.662765
01 Function As Foils,/Users/maxbalateu/desktop/DATASET THESIS/01 Function As Foils.mp3,-238.7120361328125,83.31861877441406,109.33978271484375,34.027706146240234,33.64609909057617,30.022293090820312,61.183597564697266,18.304773330688477,3.5947115421295166,18.337236404418945,33.71223449707031,13.623016357421875,8.385405540466309,11.01144790649414,14.809826850891113,6.898353099822998,7.52264928817749,9.385695457458496,11.880587577819824,7.68261194229126,4.549156665802002,6.836570739746094,4.4716010093688965,8.059927940368652,6.2918572425842285,7.83671760559082,2040.4638001518367,1500.6059804775327,0.0005781265208497643,0.0019231376936659217,3417.6194096834824,1077.3698070846851,40.89061737060547,40.48552703857422,0.013700345475361198,0.01877359615781046,0.3076154291629791,0.1312410533428192,109.95678191489361,81,0.11682539682539683,0.0015236011058492474,0.5461043083900228,0.07922200235374148,45.0,0.28817299008369446,0.26485803723335266,0.15319345891475677,3.222378969192505,0.13744713366031647,0.13562257587909698,0.13988527655601501,0.274554967880249,0.902353048324585,0.3651358187198639,0.28935354948043823,0.5726172924041748,0.2664682865142822,0.1664169877767563,0.11378368735313416,0.09443729370832443,19.765918263759964,4.939392865737394,9.966175377810812,3.330926151103288,15.400378758221857,4.366501840682345,15.021541111550082,4.504825701376759,13.616612594893104,2.8350669075116826,14.78188494096649,1.9450379161545048,53.375041091087255,2.8183922022749393,0.5290312170982361,0.06653623282909393,0.16758091747760773,1.465442419052124,0.0264175082884195,F,major,0.7179808616638184,5,7B,0.0,0.4059078352501524,0.43906800134994367,0.4237433147282484,0.37536443937330555,0.0,0.5397074395910256,0.6837868842168933,1.0,0.19787569723549459,0.7433986379842766,"soft, tonal, bass_heavy, warm, dub_techno",False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,low,low,low,low,medium,high,very high,very low,high,very low,slow,-873.70404,192.5888,59.32078,33.758087,25.178352,15.145622,6.124285,2.8940487,2.8738694,4.241301,2.2614057,-3.0034673,-6.4349227,100.135086,54.24842,35.86384,32.549652,24.95134,13.560388,18.54893,18.26083,16.811771,12.957567,12.43563,14.621632,14.775481,314.85596,416.49948,237.77321,0.049645234,0.01141747,109.58407,0.8984581,0.75024146,1.0,2,4.681017,13.417641
01 It_s A Bear,/Users/maxbalateu/desktop/DATASET THESIS/01 It_s A Bear.mp3,-77.43196868896484,68.47300720214844,106.82786560058594,42.84772872924805,7.938627243041992,26.569652557373047,32.37522506713867,21.556058883666992,-4.457916259765625,23.371030807495117,22.714603424072266,16.999679565429688,-6.871393203735352,12.40556812286377,9.098106384277344,10.676929473876953,-7.628492832183838,9.915464401245117,10.01437759399414,11.115911483764648,-5.732795715332031,8.627758026123047,8.399864196777344,9.487123489379883,-0.9353570342063904,9.150368690490723,4045.7205302597554,1994.8723016286283,0.005839020945131779,0.0097590871155262,4590.755504509867,1246.7444917833923,112.20879364013672,77.83116912841797,0.05751111608294634,0.05046222812490654,0.376437246799469,0.16973090171813965,132.51201923076923,96,0.10841587520676547,0.0009724062731789014,0.44900059672992004,0.03035053000344569,45.0,0.4899657070636749,0.2235693782567978,0.29004964232444763,3.471622943878174,0.3096734881401062,0.3980153501033783,0.5944750905036926,0.9997291564941406,0.8084585666656494,0.5381467938423157,0.45615023374557495,0.36018306016921997,0.4027058780193329,0.34470924735069275,0.3678366243839264,0.2995028793811798,16.40998564355266,5.15167843947637,11.688037213684446,4.511309297032855,15.119650829099642,4.071284658976484,16.101643267552603,3.87913339211202,14.265984454692981,2.8663037165889285,15.397631262214631,2.6022953309917307,53.92856014968021,3.7226768528858276,0.2553251385688782,0.10103948414325714,0.2595309019088745,1.877394676208496,0.03933626892564193,Ab,minor,0.8406344652175903,-1,?,0.0,0.761494090546218,0.3229851788770829,0.7915089880934427,0.5305950183952691,0.4275690166475689,0.5670051466012851,0.2544942184716521,0.6274503524874018,0.4462213377695243,0.3132893452056568,"bright, tonal, dense, cold",True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,high,low,high,medium,medium,low,medium,low,low,low,minimal,-616.7919,152.94466,73.66436,-6.080076,-18.984371,15.578991,1.622919,9.372251,10.871204,3.4987895,5.0201693,1.2540975,3.255027,93.29055,64.219635,34.14501,26.032267,24.489656,19.32209,13.869109,15.369678,12.508872,11.92789,11.317264,10.358561,9.652768,1011.72644,921.75903,556.9561,0.20458421,0.03192547,134.0403,3.7570128,0.8635877,0.0,0,9.030832,10.811409
01 Jack Nolan - Timentes,/Users/maxbalateu/desktop/DATASET THESIS/01 Jack Nolan - Timentes.mp3,-145.0486297607422,99.91724395751953,112.13969421386719,57.47858428955078,23.68748664855957,35.849510192871094,39.23657989501953,23.275997161865234,-1.1383846998214722,22.896404266357422,36.355037689208984,14.920588493347168,-6.697608470916748,20.174943923950195,29.054960250854492,11.627533912658691,-2.326462984085083,15.106614112854004,17.490793228149414,10.100274085998535,3.5667567253112793,12.714889526367188,9.353851318359375,9.534605979919434,7.026802062988281,10.428471565246582,3210.450857934019,2516.1526537908803,0.00253107026219368,0.005802107974886894,3716.7553437018514,1437.0435137178415,120.7065658569336,67.31617736816406,0.05771595233488132,0.08258674627968939,0.4239896237850189,0.14193636178970337,139.6748310810811,77,0.11780622660262706,0.001807045208195314,0.4347630982217448,0.013277894324206547,45.0,0.4910099506378174,0.26060426235198975,0.30900540947914124,3.4639437198638916,0.34810805320739746,0.3468727469444275,0.31989985704421997,0.29323145747184753,0.30991029739379883,0.3526783585548401,0.599488377571106,0.8836227655410767,0.9417983889579773,0.5243323445320129,0.5361378788948059,0.4360373020172119,17.904320811081156,4.730955410777588,9.383407527161822,3.4775831655423803,12.199465726676836,3.8078577312334563,14.01546384432288,3.8520765404955366,14.674700216738714,3.619533754380003,15.857451503907683,3.4619503585456224,53.85229698805641,5.545356057657355,0.3367021083831787,0.1035371795296669,0.21794384717941284,1.8015683889389038,0.04918674089117582,G,minor,0.45912885665893555,7,6A,0.0,0.6133781857420009,0.40250782034415666,0.7358169785625596,0.33396961830078187,0.5794466105865572,0.4276123712582001,0.4052932999922154,0.6495341186446291,0.6355832927231987,0.44116736356520037,"bright, punchy, tonal, dense",True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,medium,low,high,low,low,low,medium,medium,low,medium,hardgroove,-747.445,251.72984,19.217457,42.87879,34.287174,22.050453,25.496222,14.995456,14.0836115,8.0813265,8.403728,1.1916777,2.1200721,128.10461,70.82083,41.920006,23.145264,24.0911,13.5231695,12.643371,12.006602,8.693264,8.6916,7.1982055,6.7440104,6.4431834,378.59515,773.8252,354.16913,0.24030717,0.009817759,137.90262,2.8148854,0.42550775,0.0,0,8.835228,11.172027
