track_id,eff_0,eff_1,eff_2,eff_3,eff_4,eff_5,eff_6,eff_7,eff_8,eff_9,eff_10,eff_11,eff_12,eff_13,eff_14,eff_15,eff_16,eff_17,eff_18,eff_19,eff_20,eff_21,eff_22,eff_23,eff_24,eff_25,eff_26,eff_27,eff_28,eff_29,eff_30,eff_31,eff_32,eff_33,eff_34
01-iglo-neverplace,-748.76874,196.28831,58.242935,37.026897,25.574892,30.360636,16.674614,12.307392,6.74187,7.4043474,5.904462,9.897707,10.489756,108.960526,63.00711,25.41965,18.65373,17.706291,13.259367,11.724006,10.2707615,9.723495,11.353975,11.234555,10.480973,10.0190735,277.5131,319.8856,114.446686,0.19126526,0.009123209,140.03857,3.7789764,0.74391896,0.0
01-kabay-felix_dream,-768.46173,200.20435,51.30767,52.367558,45.716396,44.763176,16.723707,21.635675,4.230919,10.983735,7.1750107,4.055592,3.6453688,126.34815,65.5058,40.929737,22.714663,19.953377,15.312601,15.2760315,11.970898,9.079015,7.255217,6.682844,7.035391,7.058422,254.23772,298.18472,121.57722,0.22306678,0.007195207,141.08057,3.7774167,0.6643557,0.0
01-luar-echo,-744.9977,202.7956,57.84456,42.17239,21.670101,26.108694,11.418834,20.08812,7.4403205,6.8266563,-0.1779907,3.4855506,0.66487694,134.56503,71.08026,39.242096,23.61984,19.238178,19.107986,17.495646,11.646251,12.812638,12.250792,11.731724,9.565439,10.321487,406.76025,641.66364,366.35602,0.26633412,0.013067426,140.93146,2.9469528,0.6363971,1.0
01-mara_menace-samoca,-754.2742,172.58615,16.515963,85.66465,30.647327,19.314766,26.785967,15.187471,6.9895678,23.05962,6.5158367,6.9301453,14.537953,119.023766,68.09815,32.661793,30.799501,16.182055,11.104698,16.221325,10.228726,10.626205,11.00522,8.6581135,9.280245,10.350107,346.28827,524.7774,192.23277,0.18437126,0.013090471,66.3254,4.1445775,0.5076033,1.0
01-mathys_lenne-h23,-714.3144,132.71861,81.54007,83.521866,41.451313,24.655804,7.012158,21.501236,6.8613153,0.7102219,4.1149426,4.1852975,-1.9836159,76.14359,31.98665,33.445114,28.69884,19.089203,12.410463,8.783065,7.965735,6.6299105,7.172289,5.114272,5.91341,5.662643,192.44234,99.54676,114.346725,0.2270086,0.0064487127,138.08385,3.3410194,0.7041817,0.0
01-pedro_capelossi_and_aeikus-any_second_now_(original_mix),-780.849,220.16331,33.981686,53.375725,23.462254,13.8022995,16.516325,13.57853,11.928837,13.10719,9.096937,6.791004,3.9619813,111.52743,70.21932,44.714314,33.00109,22.5457,18.374462,16.843742,12.984316,12.055963,10.279828,9.574792,9.510764,9.173584,325.58905,480.2232,289.46954,0.2059017,0.012596901,129.0494,2.9619346,0.67816997,0.0
01-teik_aro-grey_window-tr,-741.7924,173.97992,33.980236,59.551422,31.503325,24.566406,22.322683,20.884262,11.063757,13.37576,3.7600033,7.3739734,5.407141,84.87683,62.473385,24.88245,22.408125,18.920996,15.227121,13.695611,11.943062,10.075352,9.193972,8.321423,7.2359223,8.627863,362.8541,561.8515,207.72668,0.18356188,0.009666458,138.08383,3.6018577,0.31791157,0.0
01-vinicius_honorio-edge_of_sorrow_(original_mix),-652.46893,133.91379,57.282864,58.990494,25.294039,26.550413,15.985311,13.500021,3.085636,5.773795,4.88688,4.137618,3.7531493,67.41845,48.33302,16.654846,21.536638,12.293632,11.362742,9.6277685,8.606293,6.329114,6.454153,6.231415,6.1937757,6.439147,495.67862,721.52106,294.0011,0.2534339,0.014884739,136.99097,2.4585514,0.4024596,0.0
01-wax--80008a-445b1a93,-939.41394,179.71597,76.72077,71.716095,34.09719,41.095516,32.042507,29.207325,15.867288,12.444746,7.6584477,10.109275,9.670222,160.6925,74.48657,39.05147,51.14706,27.261654,20.075401,22.473007,18.816977,14.691615,12.368372,11.528029,10.017766,10.850541,255.53896,495.99023,217.90602,0.16654035,0.008292848,125.9768,3.5695767,0.8732361,1.0
01. Luke Slater - O-Ton Reassembled 1,-614.4782,112.665596,56.809605,32.14916,12.119415,31.681456,21.513454,15.337388,10.295358,14.912264,10.361915,7.762162,5.6810904,62.271725,48.117416,21.789597,20.15666,14.370548,10.925489,12.959971,9.157394,8.697181,10.018312,7.138828,7.784362,5.9679046,1004.64667,1192.776,887.8094,0.16035062,0.03688913,130.27782,3.7850685,0.87307346,0.0
01. Volpe & Elias. - Process,-801.9962,255.54857,27.292997,47.75755,51.33944,14.196677,-9.925892,7.2331357,12.237908,15.219213,9.34752,9.402457,6.3568196,99.51641,52.85531,46.64525,20.640793,23.620846,16.695807,14.404739,13.657282,10.219158,10.609842,9.211948,8.611241,6.4403663,218.40343,228.47383,142.99379,0.1948886,0.005883364,141.98026,3.5100625,0.7521388,0.0
02 - Titrexi,-743.0185,208.12904,63.267517,63.82365,35.441315,-5.101034,-21.076818,2.5480213,6.1617336,-10.573691,-17.283426,3.9909518,4.236838,75.24456,26.390896,27.723608,21.799349,18.572275,8.024849,9.640691,7.570565,7.835855,7.4198227,8.039861,7.589174,7.008964,263.25146,148.6004,285.9959,0.15650891,0.010700065,130.0406,3.9633613,0.851123,1.0
